fname,"['mogging', 'mogg', 'mogged', 'mogger', 'piller', 'chad', 'beta', 'stacy', 'maxxing', 'maxxer', 'maxxed', 'maxx', 'incel', 'braincel', 'pilled', 'pill', 'red-pill', 'females', 'alpha', 'cope', 'interocular', 'brainrot', 'lowkey', 'woke', 'lookism', 'bonesmashing', 'foid', 'femcel']"
dict/A_word_sim_g17_g25.json,"['NaN', 0.2988694430401717, 'NaN', 'NaN', 0.5073253716186441, 0.0764736039983751, 0.3813223609677461, 0.03854273883453163, 'NaN', 'NaN', 0.21183895778955164, 0.3781382655932215, 0.2277555648433074, 'NaN', 0.1028226610160915, 0.1541641306028625, 'NaN', 0.05836228205306082, 0.12081844462940916, 0.013043999671936035, 'NaN', 'NaN', 0.20153197090517883, 0.0017458796501159668, 'NaN', 'NaN', 'NaN', 'NaN']"
dict/A_word_sim_g25_incel.json,"[0.5501624774520635, 0.6480908561003389, 0.2674777304352035, 'NaN', 0.6979058611330744, 0.5266435139185675, 0.5898995234353381, 0.5563378238774069, 0.6007655758080959, 'NaN', 0.41163134391602707, 0.8465861734858187, 0.4799293224891098, 'NaN', 0.20754361765625862, 0.5816714743186422, 'NaN', 0.2464214022094675, 0.2702675719574732, 0.30334278599127973, 'NaN', 'NaN', 0.18937945611812856, 0.06843547603035038, 0.935663642731253, 'NaN', 'NaN', 0.49136183557358104]"
dict/A_word_sim_g17_incel.json,"['NaN', 0.8427817943344464, 'NaN', 'NaN', 0.12529384923069564, 0.32848850827932863, 0.5371745731404619, 0.4707573585512489, 'NaN', 'NaN', 'NaN', 'NaN', 0.41837396451894715, 'NaN', 0.11294975294870824, 0.36088127465311737, 'NaN', 0.3244220729077103, 0.24986221604798564, 0.3478491209556467, 'NaN', 'NaN', 0.18905206502503424, 0.15660263707021105, 'NaN', 'NaN', 'NaN', 'NaN']"
dict/B_word_sim_g17_g25.json,"['NaN', 0.07046663761138916, 'NaN', 'NaN', 0.07297366857528687, 0.04347825050354004, 0.07122749090194702, 0.010118484497070312, 'NaN', 'NaN', 0.03328728675842285, 0.06070798635482788, 0.036683499813079834, 'NaN', 0.025543689727783203, 0.009652972221374512, 'NaN', 0.007154643535614014, 0.08120483160018921, 0.01738870143890381, 'NaN', 'NaN', 0.03839296102523804, 0.001849353313446045, 'NaN', 'NaN', 'NaN', 'NaN']"
dict/B_word_sim_incel_g17.json,"['NaN', 0.3279363512992859, 'NaN', 'NaN', 0.027296900749206543, 0.1730341911315918, 0.35960012674331665, 0.12440985441207886, 'NaN', 'NaN', 0.17528557777404785, 0.2828245162963867, 0.12950724363327026, 'NaN', 0.037689924240112305, 0.08978444337844849, 'NaN', 0.05219995975494385, 0.13986802101135254, 0.259790301322937, 'NaN', 'NaN', 0.03571099042892456, 0.016207873821258545, 'NaN', 'NaN', 'NaN', 'NaN']"
dict/B_word_sim_g25_incel.json,"[0.18608152866363525, 0.3506847620010376, 0.03175079822540283, 'NaN', 0.22589975595474243, 0.13603657484054565, 0.3125268816947937, 0.18085646629333496, 0.3073068857192993, 'NaN', 0.1960018277168274, 0.31355082988739014, 0.17698895931243896, 'NaN', 0.06998062133789062, 0.18224012851715088, 'NaN', 0.05099672079086304, 0.13758963346481323, 0.1568872332572937, 'NaN', 'NaN', 0.06932950019836426, 0.014325380325317383, 0.42501121759414673, 'NaN', 'NaN', 0.1538575291633606]"
